TIME,Value
2020-01,2.5
2020-02,2.3
2020-03,1.5
2020-04,0.3
2020-05,0.1
2020-06,0.6
2020-07,1
2020-08,1.3
2020-09,1.4
2020-10,1.2
2020-11,1.2
2020-12,1.4
2021-01,1.4
2021-02,1.7
2021-03,2.6
2021-04,4.2
2021-05,5
2021-06,5.4
2021-07,5.4
2021-08,5.3
2021-09,5.4
2021-10,6.2
2021-11,6.8
2021-12,7
2022-01,7.5
2022-02,7.9
2022-03,8.5
2022-04,8.3
2022-05,8.6
2022-06,9.1
2022-07,8.5
2022-08,8.3
2022-09,8.2
2022-10,7.7
2022-11,7.1
2022-12,6.5
2023-01,6.4
2023-02,6
2023-03,5
2023-04,4.9
2023-05,4
2023-06,3
2023-07,3.2
2023-08,3.7
2023-09,3.7
2023-10,3.2
2023-11,3.1
2023-12,3.4
