Sender Id,Max of Date Created,Min of Date Created,Average of Amount,recency,frequency,monetary
10,02/03/2024,01/10/2023,1596.8,40,4,6387.0
24,15/02/2024,12/09/2023,625.5,56,18,11259.0
27,18/12/2023,18/10/2023,614.8,115,3,1844.3
30,20/01/2024,08/09/2023,548.3,82,3,1645.0
36,01/02/2024,14/09/2023,666.7,70,3,2000.0
38,03/03/2024,16/12/2023,3718.8,39,8,29750.7
42,23/02/2024,02/12/2023,500.0,48,2,1000.0
46,19/11/2023,19/11/2023,500.0,144,1,500.0
48,09/10/2023,09/10/2023,2268.5,185,1,2268.5
49,26/09/2023,26/09/2023,400.0,198,1,400.0
52,08/02/2024,08/02/2024,7580.0,63,1,7580.0
53,27/02/2024,15/09/2023,1166.7,44,6,7000.0
61,01/02/2024,07/01/2024,2500.0,70,2,5000.0
62,22/11/2023,02/10/2023,104.5,141,2,209.0
63,21/11/2023,18/11/2023,2080.5,142,2,4161.0
64,13/11/2023,13/11/2023,100.0,150,1,100.0
66,02/01/2024,02/01/2024,380.0,100,1,380.0
67,12/01/2024,12/01/2024,2000.0,90,1,2000.0
68,23/02/2024,15/12/2023,700.3,48,4,2801.0
75,03/03/2024,10/09/2023,3203.5,39,8,25628.0
81,28/01/2024,24/12/2023,1100.0,74,2,2200.0
87,12/02/2024,12/02/2024,1300.0,59,1,1300.0
94,25/11/2023,08/09/2023,439.0,138,2,878.0
98,28/02/2024,15/09/2023,675.0,43,12,8100.0
99,19/10/2023,19/10/2023,353.0,175,2,706.0
102,27/01/2024,27/01/2024,2000.0,75,1,2000.0
105,12/02/2024,03/10/2023,527.8,59,3,1583.4
112,26/11/2023,26/11/2023,2650.0,137,1,2650.0
116,13/12/2023,20/09/2023,2800.0,120,2,5600.0
118,01/03/2024,12/09/2023,154.3,41,16,2469.4
120,23/02/2024,23/09/2023,377.6,48,7,2643.0
124,19/12/2023,19/12/2023,1150.0,114,1,1150.0
138,11/11/2023,25/09/2023,325.0,152,2,650.0
142,15/02/2024,08/11/2023,1362.4,56,7,9537.0
147,02/02/2024,28/10/2023,1025.3,69,2,2050.7
160,23/02/2024,10/11/2023,283.3,48,3,850.0
167,19/02/2024,25/09/2023,847.5,52,8,6780.0
173,16/01/2024,14/10/2023,701.7,86,3,2105.0
174,14/01/2024,14/01/2024,7600.0,88,1,7600.0
180,19/10/2023,19/10/2023,757.0,175,1,757.0
187,07/10/2023,07/10/2023,757.0,187,1,757.0
188,21/12/2023,21/12/2023,6000.0,112,1,6000.0
209,21/12/2023,17/09/2023,160.0,112,5,800.0
212,16/11/2023,16/11/2023,151.1,147,1,151.1
215,02/11/2023,02/11/2023,1437.0,161,1,1437.0
216,15/01/2024,12/09/2023,752.3,87,8,6018.3
222,07/02/2024,01/01/2024,139.3,64,3,418.0
227,09/02/2024,06/09/2023,401.0,62,2,802.0
238,10/01/2024,16/10/2023,1000.0,92,2,2000.0
246,20/01/2024,17/09/2023,1604.2,82,5,8021.2
247,09/10/2023,09/10/2023,290.0,185,2,580.0
250,23/02/2024,27/11/2023,1250.0,48,2,2500.0
