Sender ID,Max of Date Created,Recency,frequency,monetary,Average of Total Amount
47,15/02/2023,420,21,98413.96,4686.379048
52,08/02/2024,62,17,75817.23,4459.837059
77,20/03/2019,1848,1,6918.82,6918.82
92,12/05/2022,699,3,14118.01,4706.003333
96,22/05/2019,1785,3,26000,8666.666667
99,19/10/2023,174,31,123548.96,3985.450323
123,02/02/2021,1163,7,29950,4278.571429
133,29/09/2022,559,3,12000,4000
161,20/04/2023,356,10,55200,5520
163,27/02/2023,408,22,118016.49,5364.385909
211,08/04/2023,368,6,47547,7924.5
239,09/02/2023,426,4,18502.99,4625.7475
240,28/09/2019,1656,3,12500,4166.666667
255,13/02/2020,1518,8,30010,3751.25
268,24/09/2023,199,5,31000,6200
269,11/03/2021,1126,1,5000,5000
279,12/08/2020,1337,7,60711.82,8673.117143
299,16/02/2021,1149,3,19440,6480
312,11/07/2023,274,2,8000,4000
314,22/11/2022,505,10,56660,5666
353,10/12/2023,122,35,132591.3,3788.322857
377,17/11/2019,1606,2,11117,5558.5
430,05/02/2024,65,4,23122.99,5780.7475
431,18/04/2022,723,13,117231.7,9017.823077
438,11/08/2019,1704,1,9000,9000
511,15/06/2019,1761,3,12500,4166.666667
531,08/07/2023,277,4,17500,4375
560,03/06/2021,1042,1,4400,4400
563,10/03/2020,1492,5,24500,4900
564,21/12/2022,476,6,23795,3965.833333
585,24/07/2023,261,4,25998,6499.5
586,11/06/2023,304,7,29382.04,4197.434286
587,18/01/2020,1544,1,4475,4475
599,20/04/2023,356,24,96161.72,4006.738333
649,07/01/2024,94,21,82363.41,3922.067143
666,27/09/2019,1657,4,20005,5001.25
682,04/04/2023,372,11,42639.99,3876.362727
710,29/05/2023,317,3,15504,5168
722,09/12/2020,1218,4,31000,7750
829,01/10/2021,922,3,20736,6912
854,27/04/2020,1444,3,13000,4333.333333
859,10/02/2020,1521,1,5000,5000
893,21/06/2019,1755,3,17300,5766.666667
902,02/03/2023,405,6,35407,5901.166667
922,25/10/2023,168,16,127866,7991.625
934,05/02/2021,1160,7,52745,7535
1003,03/06/2019,1773,1,5000,5000
1072,15/08/2022,604,4,16303.98,4075.995
1075,19/09/2023,204,2,15117,7558.5
1136,22/07/2019,1724,1,10000,10000
1153,28/07/2020,1352,2,9771,4885.5
1180,02/06/2019,1774,1,4545,4545
1196,02/04/2023,374,17,116820.68,6871.804706
1211,01/07/2022,649,26,96457.64,3709.909231
1231,19/09/2022,569,6,24301.95,4050.325
1252,28/12/2023,104,28,205595.99,7342.713929
1275,02/02/2022,798,13,60942,4687.846154
1292,17/07/2022,633,8,47359,5919.875
1297,19/05/2019,1788,1,10000,10000
1311,19/06/2019,1757,3,30000,10000
1325,28/02/2024,42,10,67606.15,6760.615
1329,09/02/2021,1156,1,6000,6000
1416,01/07/2022,649,7,43386.68,6198.097143
1427,17/05/2022,694,4,16100,4025
1461,13/02/2024,57,1,3800,3800
1462,01/11/2019,1622,2,7430,3715
1595,28/02/2020,1503,12,74250,6187.5
1596,10/08/2022,609,9,32747.66,3638.628889
1598,30/05/2023,316,11,76595,6963.181818
1645,24/03/2023,383,6,33195.98,5532.663333
1698,02/04/2021,1104,10,72002,7200.2
1717,16/06/2020,1394,1,8760,8760
